Unnamed: 0,LISTA DE PRECIOS ICE,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Escuela de idiomas,CES,,,,,,,,,
ALEMANIA,Escuela de idiomas,English Path,,,,,,,,,
FRANCIA,Escuela de idiomas,English Path,,,,,,,,,
COLOMBIA,Rumbo Colombia: Medellín,,,,,,,,,,
,Rumbo Colombia: San Andrés,,,,,,,,,,
,Rumbo Colombia: Cartagena,,,,,,,,,,
,Rumbo Colombia: Eje Cafetero,,,,,,,,,,
,Rumbo Colombia: Santa Marta,,,,,,,,,,
,Rumbo Colombia: Guajira,,,,,,,,,,
,Rumbo Colombia: Amazonas,,,,,,,,,,
SERVICIOS COMPLEMENTARIOS,Seguro médico internacional,,,,,,,,,,
,Curso online intensivo de profundización en inglés conversacional (60 horas),,,,,,,,,,
,Tutorías personalizadas en inglés,,,,,,,,,,
,Tutorías personalizadas en francés,,,,,,,,,,
,COSTA RICA,,,,,,,,,,
USA,Asesoría para visa turismo,,,,,,,,,,
,Asesorías para otras visas,,,,,,,,,,
,Work and Travel USA,,,,,,,,,,
,Au Pair USA,,,,,,,,,,
,Intern and Trainee USA,,,,,,,,,,
,Intern and Trainee España,,,,,,,,,,
,Camp Counselor,,,,,,,,,,
,Escuela de idiomas en USA,,,,,,,,,,
,Programa H2-B,,,Inscripciòn (50 USD) + Servicio de acompañamiento y asesorìa (700 USD),,,,,,,
CANADÁ,"Study, Work and Live: MasterTech",Consultoría e intercambio,,,,,,,,,
,"Study, Work and Live: Care Assistant",Consultoría e intercambio,,,,,,,,,
,"Study, Work and Live: Early Childhood",Consultoría e intercambio,,,,,,,,,
,Escuela de idiomas,English Path/CES,,,,,,,,,
,Summer Camp,CES,,,,,,,,,
,Asesoría para visa de turismo,Consultoría e intercambio,,,,,,,,,
AUSTRALIA,Escuela de idiomas,English Path,,,,,,,,,
MALTA,Escuela de idiomas,English Path,,,,,,,,,
DUBAI,Escuela de idiomas,English Path,,,,,,,,,
IRLANDA,Escuela de idiomas,English Path/CES,,,,,,,,,
,Summer Camp,CES,,,,,,,,,
ESCOCIA,Escuela de idiomas,CES,,,,,,,,,
,Summer Camp,CES,,,,,,,,,
INGLATERRA,Escuela de idiomas,English Path/CES,,,,,,,,,
,Escuela de idiomas,CES,,,,,,,,,
ALEMANIA,Escuela de idiomas,English Path,,,,,,,,,
FRANCIA,Escuela de idiomas,English Path,,,,,,,,,
COLOMBIA,Rumbo Colombia: Medellín,,,,,,,,,,
,Rumbo Colombia: San Andrés,,,,,,,,,,
,Rumbo Colombia: Cartagena,,,,,,,,,,
,Rumbo Colombia: Eje Cafetero,,,,,,,,,,
,Rumbo Colombia: Santa Marta,,,,,,,,,,
,Rumbo Colombia: Guajira,,,,,,,,,,
,Rumbo Colombia: Amazonas,,,,,,,,,,
SERVICIOS COMPLEMENTARIOS,Seguro médico internacional,,,,,,,,,,
,Curso online intensivo de profundización en inglés conversacional (60 horas),,,,,,,,,,
,Tutorías personalizadas en inglés,,,,,,,,,,
,Tutorías personalizadas en francés,,,,,,,,,,
 PERÚ,,,,,,,,,,,
USA,Asesoría para visa turismo,,,,,,,,,,
,Asesorías para otras visas,,,,,,,,,,
,Work and Travel USA,,,,,,,,,,
,Au Pair USA,,,,,,,,,,
,Intern and Trainee USA,,,,,,,,,,
,Intern and Trainee España,,,,,,,,,,
,Camp Counselor,,,,,,,,,,
,Escuela de idiomas en USA,,,,,,,,,,
,Programa H2-B,,,,,,,,,,
CANADÁ,"Study, Work and Live: MasterTech",Consultoría e intercambio,,,,,,,,,
,"Study, Work and Live: Care Assistant",Consultoría e intercambio,,,,,,,,,
,"Study, Work and Live: Early Childhood",Consultoría e intercambio,,,,,,,,,
,Escuela de idiomas,English Path/CES,,,,,,,,,
,Summer Camp,CES,,,,,,,,,
,Asesoría para visa de turismo,Consultoría e intercambio,,,,,,,,,
AUSTRALIA,Escuela de idiomas,English Path,,,,,,,,,
MALTA,Escuela de idiomas,English Path,,,,,,,,,
DUBAI,Escuela de idiomas,English Path,,,,,,,,,
IRLANDA,Escuela de idiomas,English Path/CES,,,,,,,,,
,Summer Camp,CES,,,,,,,,,
ESCOCIA,Escuela de idiomas,CES,,,,,,,,,
,Summer Camp,CES,,,,,,,,,
INGLATERRA,Escuela de idiomas,English Path/CES,,,,,,,,,
,Escuela de idiomas,CES,,,,,,,,,
ALEMANIA,Escuela de idiomas,English Path,,,,,,,,,
FRANCIA,Escuela de idiomas,English Path,,,,,,,,,
COLOMBIA,Rumbo Colombia: Medellín,,,,,,,,,,
,Rumbo Colombia: San Andrés,,,,,,,,,,
,Rumbo Colombia: Cartagena,,,,,,,,,,
,Rumbo Colombia: Eje Cafetero,,,,,,,,,,
,Rumbo Colombia: Santa Marta,,,,,,,,,,
,Rumbo Colombia: Guajira,,,,,,,,,,
,Rumbo Colombia: Amazonas,,,,,,,,,,
SERVICIOS COMPLEMENTARIOS,Seguro médico internacional,,,,,,,,,,
,Curso online intensivo de profundización en inglés conversacional (60 horas),,,,,,,,,,
,Tutorías personalizadas en inglés,,,,,,,,,,
,Tutorías personalizadas en francés,,,,,,,,,,
