Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
,,CAMP COUNSELOR,
,,,
,,OBJETO,MENSAJE
,,INFO INICIAL,"Camp Counselor USA 🏕️ te ofrece la oportunidad única de trabajar y vivir la experiencia de un campamento de verano en los Estados Unidos, en la cual impartirás habilidades y conocimientos, mientras recibes alimentación, hospedaje y una remuneración. Con este programa, desarrollaràs habilidades de liderazgo, mejorar tu inglés, y construir amistades internacionales que durarán toda la vida."
,,,
,,,
,,,
,,REQUISITOS,"⚠️ Para poder aplicar a este programa es necesario cumplir con los siguientes requisitos:
✅ Tener entre 18 y 35 años
✅ Nivel de ingles avanzado
✅ Tener una habilidad certificada"
